type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
calculate,females_11_59_total,,,,,,,,,,,,,,,,"sum(${female_11_59}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 10 and ${hoh_age} <= 59, ""1"", ""0""), ""0"")",
calculate,females_19_59_total,,,,,,,,,,,,,,,,"sum(${female_19_59}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 18 and ${hoh_age} <= 59, ""1"", ""0""), ""0"") ",
calculate,females_60_plus_total,,,,,,,,,,,,,,,,"sum(${female_60_plus}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 59, ""1"", ""0""), ""0"")",
calculate,boys_ed,,,,,,,,,,,,,,,,${males_6_12_total} + ${males_13_18_total},
calculate,girls_ed,,,,,,,,,,,,,,,,${females_6_12_total} + ${females_13_18_total},
calculate,boys,,,,,,,,,,,,,,,,sum(${boy}),
calculate,girls,,,,,,,,,,,,,,,,sum(${girl}),
calculate,boys_marriage,,,,,,,,,,,,,,,,sum(${boys_marriage_range}),
calculate,girls_marriage,,,,,,,,,,,,,,,,sum(${girls_marriage_range}),
calculate,edu_age_male,,,,,,,,,,,,,,,,${males_13_18_total} + ${males_19_59_total} + ${males_60_plus_total},
calculate,edu_age_female,,,,,,,,,,,,,,,,${females_13_18_total} + ${females_19_59_total} + ${females_60_plus_total},
calculate,edu_age,,,,,,,,,,,,,,,,${males_6_12_total} + ${males_13_18_total} + ${males_19_59_total} + ${males_60_plus_total} + ${females_6_12_total} + ${females_13_18_total} + ${females_19_59_total} + ${females_60_plus_total},
calculate,adult_18_plus_total,,,,,,,,,,,,,,,,${males_18_plus_total} + ${females_18_plus_total},
calculate,under_18_total,,,,,,,,,,,,,,,,${hh_size} - ${adult_18_plus_total},
calculate,child_worker_age,,,,,,,,,,,,,,,,${males_11_17_total} + ${females_11_17_total},
calculate,muac_total,,,,,,,,,,,,,,,,sum(${muac}),
calculate,mdd_total,,,,,,,,,,,,,,,,sum(${mdd}),
calculate,diarrhea_total,,,,,,,,,,,,,,,,${males_0_2_total} + ${males_3_5_total} + ${females_0_2_total} + ${females_3_5_total},
calculate,literacy_age_male_total,,,,,,,,,,,,,,,,"sum(${literacy_age_male}) + if(selected(${hoh_sex}, ""male""), if(${hoh_age} > 10, ""1"", ""0""), ""0"")",
calculate,literacy_age_female_total,,,,,,,,,,,,,,,,"sum(${literacy_age_female}) + if(selected(${hoh_sex}, ""female""), if(${hoh_age} > 10, ""1"", ""0""), ""0"")",
calculate,males_females_0_2_total,,,,,,,,,,,,,,,,${males_0_2_total} + ${females_0_2_total},
note,hoh_check_note,"To check, the head of household is a ${hoh_age} year old  ${hoh_sex}? If this is incorrect, please go back and change the first repeat entry to be the head of household.",?? ???? ?? ?????? ??????? ??? ???? ???? ??? ??? ??? ???? ???????? ???? ???? ??? ??? ?? ???? ???? ? ?????? ?? ?????? ??????? ?? ??? ????,????? ?? ? ????? ??? ?? ??? ??? ?? ????? ?? ?? ???? ???? ??? ?? ????? ???? ?? ???? ?? ?? ?? ?? ????,,,,,,,,,,,,,,
begin group,c2,Education,????? ,?????,,,,,${unattending_no_shock_total} > 0,,,,,,,,,
select_multiple unattendance_reason_list,boy_unattendance_reason,"What were the reason the ${unattending_male_no_shock_total} boys were not enrolled in school, since not due to shock? ",??? ???? ?????  ????? ?? ???? ???? ????? ????? ?? ???? ?????,?? ???? ???? ?? ??? ?? ?? ?????? ?? ? ?????? ? ?? ???????? ??? ?? ???,,,,TRUE,${unattending_male_no_shock_total} > 0,,,,,,,,,
select_multiple unattendance_reason_list,girl_unattendance_reason,"What were the reason the ${unattending_female_no_shock_total} girls were not enrolled in school, since not due to shock? ",??? ???? ?????  ????? ?? ???? ???? ????? ?????? ?? ???? ?????,?? ???? ???? ?? ??? ?? ?? ?????? ?? ? ?????? ? ?? ???????? ??? ?? ???,,,,TRUE,${unattending_female_no_shock_total} > 0,,,,,,,,,
select_one yn_list,religious_attendance,Are any of the ${unattending_no_shock_total} children not attending formal school or community based education attending religious school instead?,??? ?? ?? ?? ?????  ${unattending_no_shock_total} ??? ?? ?? ???? ????/???? ?????? ??????? ?? ??? ?? ?? ????? ????? ???????,??? ?????  ${unattending_no_shock_total} ??????? ??? ?? ?? ???? ??????? ?? ??????? ??? ??? ?? ??? ??? ???? ??? ?? ??? ?? ???? ????? ?? ???,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
select_one marital_status_list,hoh_marital_status,What is the marital status of the Head of Household?,???? ???? ??? ??????? ?? ???,? ????? ? ??? ???? ???? ???? ???,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_seeing,Does the household head have difficulty seeing even if wearing glasses?,??? ??? ??????? ??? ?? ?????? ?? ???? ??????? ????? ??? ?? ???? ?????? ?????,??? ? ????? ??? ?? ????? ?? ?????? ? ????? ??? ???? ????,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_hearing,Does the household head have difficulty hearing even using a hearing aid?,??? ??? ??????? ??? ?? ?????? ?? ??? ?????? ??????? ????? ??? ?? ???? ?????? ?????,??? ? ????? ??? ? ??????? ???? ??? ??? ?? ? ??????? ??? ?? ??????? ????,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_walking,Does the household head have any difficult walking or climbing steps?,??? ??? ???????? ???? ??? ??? ?? ??? ???? ???? ? ,??? ? ????? ??? ?? ??????? ?? ?? ?? ??? ????? ???? ?? ??? ???? ????,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_memory,Does the houshold head have any difficulty remembering or concentrating?,??? ??? ???????? ???? ??????? ?? ??? ?????,??? ? ????? ??? ? ????? ???? ????,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_selfcare,"Does the household head have any difficulty with self care, such as washing or dressing?",??? ??? ??????? ???? ?????? ?? ??? ????? ???? ? ???? ?????? ????? ,??? ? ????? ??? ? ??? ??? ??????? ?? ??? ???? ???? ??? ???????? ?? ???????,,,,TRUE,,,,,,,,,,
select_one yndk_list,wg_communicating,"Using your usual language, does the household head have any difficulty communicating for example, understanding or being understood?",??? ??? ??????? ???? ?????? ?? ????? ? ????? ???? ?? ?????? ?? ???? ???? ??? ??????? ???????,? ???? ??? ?? ?????? ???? ??? ? ????? ??? ? ??????? ?? ? ???? ???? ?? ?????? ???? ?????? ????,,,,TRUE,,,,,,,,,,
select_one yndk_list,chronic_illness,Does the household head have any chronic illnesses?,??? ??? ??????? ?????? ??? ???? ????? ?????? ???? ?? ????? ? ???? ?????,??? ? ????? ??? ??? ????? ?????? ???? ??? ? ??? ?????? ?? ????,"Heart disease, diabetes, etc.","??? ????, ?? ??? ?????",? ??? ??????? ???? ?? ??? ?? ???? ??????? ???. ,TRUE,,,,,,,,,,
integer,pregnant,How many individuals in the household are pregnant?,????? ???? ??????,? ??? ????? ?? ???? ?? ???????? ??,,,,TRUE,${females_11_59_total} > 0,,,. >= 0 and . <= ${females_11_59_total},"Cannot be negative or greater than the total number of females aged 11 to 59 in the household, ${females_11_59_total}.",???? ?? ?????? ?? ????? ????? ????? ????? ?? ?? ?? 11 ?? 59 ???? ?? ??????? ???????? ????,?? ????? ?? ? ????? ??? ????? ?? ??? ?? ? ????? ?? ?? ???? ??? ??? ??? ??? ?? ???? (???) ??? ?????? ${females_11_59_total}.,,,
integer,lactating,How many individuals in the household are lactating?,????? ???? ??? ???,? ??? ????? ?? ???? ?? ????? ?? ???? ?????,,,,TRUE,${males_females_0_2_total} > 0,,,. >= 0 and . <= ${females_11_59_total},"Cannot be negative or greater than the total number of females aged 11 to 59 in the household, ${females_11_59_total}.",???? ?? ?????? ?? ????? ????? ????? ????? ?? ?? ?? 11 ?? 59 ???? ?? ??????? ???????? ????,?? ????? ?? ? ????? ??? ????? ?? ??? ?? ? ????? ?? ?? ???? ??? ??? ??? ??? ?? ???? (???) ??? ?????? ${females_11_59_total}.,,,
select_one education_list,highest_edu,What is the highest education level achieved by a current household members?,???????? ???? ?????? ?????? ??????? ?? ????,????? ? ????? ?? ?????? ??? ?? ? ????? ??? ???? ????? ???,,,,TRUE,,,,,,,,,,
integer,female_literacy,How many female members of the household over the age of 10 can read and write?,?? ?????? ?? ???? ?? ??? ??????? ?? ?????? ?? ?? ?? ???? ??? ??????? ?????? ?? ???????,? ????? ????? ????? ??? ?? ?? 10 ???? ????? ?? ??? ?? ???? ????? ???,,,,TRUE,${literacy_age_female_total} > 0,,,. >= 0 and . <= ${literacy_age_female_total},"Cannot be negative or greater than the total number of females in the household over the age of 10, ${literacy_age_female_total}.",???? ?? ?????? ?? ????? ????? ????? ???? ?? ??????? ?? ????? ?? 10 ??? ???? ????????,?? ????? ?? ? ?????? ??? ????? ???? (???) ?? ??? ??? ?????? ?? ??? ?? ? ?? ???? ??? ????? ?? ${literacy_age_female}. ,,,
integer,male_literacy,How many male members of the household over the age of 10 can read and write?,?? ?????? ?? ?????? ???? ??????? ?? ?????? ?? ?? ?? ??? ??? ??????? ?????? ?? ???????,? ????? ????? ?????? ??? ?? ?? 10 ???? ????? ?? ??? ?? ???? ????? ???,,,,TRUE,${literacy_age_male_total} > 0,,,. >= 0 and . <= ${literacy_age_male_total},"Cannot be negative or greater than the total number of males in the household over the age of 10, ${literacy_age_male_total}.",???? ?? ?????? ?? ????? ????? ????? ???? ?? ??????? ?? ????? ?? 10 ??? ???? ????????,?? ????? ?? ? ??????? ??? ????? ???? (???) ?? ??? ??? ?????? ?? ??? ?? ? ?? ???? ??? ????? ?? ${literacy_age_male}. ,,,
select_one yndk_list,boy_marriage,Are any boys (under the age of 16) in your household married?,??? ?? ??????? ??? ???? ???  ??? ?? ?? ?????? ?? ?? ????? ???? ????,??? ????? ?? ????? ?? ???? ?????? (? 16 ???? ??? ?? ????) ?????? ????,,,,TRUE,${boys_marriage} > 0,,,,,,,,,
select_one yndk_list,girl_marriage,Are any girls (under the age of 16) in your household married?,??? ?? ??????? ??? ???? ????  ??? ?? ?? ?????? ?? ?? ????? ???? ????,??? ????? ?? ????? ?? ???? ?????? (? 16 ???? ??? ?? ????) ?????? ????,,,,TRUE,${girls_marriage} > 0,,,,,,,,,
select_one yndk_list,adult_behavior_change,"Have any adults in your household developed any of the following changes in behavior in the past year? If they have experienced any, select yes.",??? ??? ???? ????? ??????? ????? ??????? ?????? ?? ????????? ??????? ??? ?? ??? ????? ??? ????," ??? ?? ??? ??? ??? ?? ????? ? ????? ? ??? ??? ??? ?? ???? ?? ??? ?? ????? ???? ??????
- ? ?? ??? ?? ???? ?? ??? ??? /?????? ????????.-
-???? ???? ?? ???? ??????
- ??? ?????? ???? (? ????? ??? ????) (???? ???? ???? ???) 
- ????? ?? ? ????? ?? ??????? ?? ?????
- ?????? ??????? ?? ??? ????? ?? ????? ??????
- ? ??? ?? ???? ?????? ????? ??? ??????","New/repeated complaints about headaches or upset stomach.
Repeated nightmares or bedwetting.
Excessive (more than usual) emotional outbursts (crying, screaming, aggression).
Changes in appetite or eating habits.
Social isolation or inability to be alone.
Substance/drug use/abuse.","?????? ???? ? ?? ???? ?? ???? ?????? ? ?? ?????? ????
??? ?? ???? ???? ???? ? ?? ????
???????? ??? ?? ?? ???? ????? (????? ??? ? ?????)
???? ?? ?????
??????? ??? 
??????? ???? ????
",? ?????? ?? ???? ???/?????? ????????,TRUE,,,,,,,,,,
select_one yndk_list,child_behavior_change,"Have any children in your household developed any of the following changes in behavior in the past year? If they have experienced any, select yes.",??? ??? ???? ????? ??????? ????? ??????? ?????? ?? ?????? ??????? ??? ?? ??? ????? ??? ???? ," ??? ?? ??? ??? ??? ?? ????? ? ????? ? ??? ????? ?? ???? ?? ??? ?? ????? ???? ??????
- ? ?? ??? ?? ???? ?? ??? ??? /?????? ????????.-
-???? ???? ?? ???? ??????
- ??? ?????? ???? (? ????? ??? ????) (???? ???? ???? ???) 
- ????? ?? ? ????? ?? ??????? ?? ?????
- ?????? ??????? ?? ??? ????? ?? ????? ??????
- ? ??? ?? ???? ?????? ????? ??? ??????","New/repeated complaints about headaches or upset stomach.
Repeated nightmares or bedwetting.
Excessive (more than usual) emotional outbursts (crying, screaming, aggression).
Changes in appetite or eating habits.
Social isolation or inability to be alone.
Substance/drug use/abuse.","?????? ???? ? ?? ???? ?? ???? ?????? ? ?? ?????? ????
??? ?? ???? ???? ???? ? ?? ????
???????? ??? ?? ?? ???? ????? (????? ??? ? ?????)
???? ?? ?????
??????? ??? 
??????? ???? ????
",? ?????? ?? ???? ???/?????? ????????,TRUE,${under_18_total} > 0,,,,,,,,,
select_one yn_list,behavior_change_cause,Do you believe these changes in behaviour were a result of experiencing conflict activities?,??? ???? ??? ??? ??????? ?? ????? ???? ?? ?????/??? ???? ?,?? ??? ??? ???? ?? ?? ????? ??? ?? ?? ???? ?? ?? ???????? ? ???? ? ????????? ?? ????? ?? ??????? ????,,,,TRUE,"selected(${adult_behavior_change}, ""yes"") or selected(${child_behavior_change}, ""yes"")",,,,,,,,,
select_one yn_list,psychosocial_access,Have these person(s) accessed psychosocial or mental health services?,??? ?????? ?? ??? ????? ???? ??? ???? ??? ??? ????? ?? ????? ????? ? ?? ???? ?????? ???????,?? ???? ??? ??? ?? ???? ?? ????? ????? ??? ??? ??? ??/????? ?????? ?? ????? ???????? ??????? ?? ?????? ??????,,,,TRUE,"selected(${adult_behavior_change}, ""yes"") or selected(${child_behavior_change}, ""yes"")",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,D,Livelihoods,????? ? (????? ????? ),?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,livelihoods_note,In the following couple of questions we will talk about your household livelihoods. Please remember none of the personal data will be shared with anyone. ,???: ?? ??? ?????? ???  ?? ?? ???? ?????? ??????? ??? ???? ???????. ?? ??? ????? ????? ?? ??????? ?? ??? ?? ???? ??????,??????: ?? ????? ??? ?????? ?? ?? ??? ????? ? ????? ? ???? ?? ??? ???? ????. ??????? ????? ?? ??? ???? ?? ??? ?? ???? ??????? ?? ?? ?? ??? ???? ?? ??.,,,,,,,,,,,,,,
integer,adults_working,How many adults 18+ years worked outside of the household in the last 30 days?,?? ????? ?? ????? ???????? 18 ???? ?? 30 ??? ????? ?? ????? ?? ???? ??? ???????.,? ????? ?? ??? ????? ?? ?? ??? ?? ?? 18 ???? ??? ??? ? ???? 30 ???? ?? ????? ?? ? ??? ??? ?? ??? ??? ????,,,,TRUE,${adult_18_plus_total} > 0,,,. >= 0 and . <= ${adult_18_plus_total},"Cannot be negative or greater than the total number of adults in the household, ${adult_18_plus_total}.",???? ?? ?????? ?? ????? ????? ????? ???? ?? ??????? ?? ????? ?? 10 ??? ???? ???????? ,?? ????? ?? ? ??? ??????? ??? ????? ???? (???) ?? ??? ??? ??????? ${adult_18_plus_total}  ,,,
integer,children_working,How many children between the age of 11-17 worked outside of the household in the last 30 days?,?? ????? ????? ?? ?? 11 ??? 17 ???? ?? 30 ??? ????? ?? ????? ?? ???? ??? ????????,? ????? ?? ??? ??????? ?? ?? ??? ?? ? 11-17 ????? ?? ??? ??? 30 ???? ?? ????? ?? ?  ? ??? ??? ?? ??? ??? ????,,,,TRUE,${child_worker_age} > 0,,,. >= 0 and . <= ${child_worker_age},"Cannot be negative or greater than the total number of children between 11 and 17 in the household, ${child_worker_age}.",???? ?? ?????? ?? ????? ????? ????? ??? ?? 11 ? 17 ?? ??????? ???? ????????,?? ????? ?? ? ???????? ??? ????? ?? ??? ?? ? ?? ?? ?? ?? ??? ?? ???? (???) ?? ??? ??? ??????? ${child_worker_age}.,,,
select_one yn_list,children_work_safety,"Are the children working outside of the household, involved in work or activities that puts their health or safety at risk?",??? ????? ????? ?? ???? ??? ??????. ??? ???? ?? ??? ????? ?????? ? ????? ???? ?? ?? ??? ????? ?????? ???? ??????,??? ??????? ? ??? ??? ??? ??? ???? ?? ?? ???? ??? ?? ????????? ?? ???? ?? ?? ???? ?????? ?? ???????? ?? ??? ?? ?????,,,,TRUE,${children_working} > 0,,,,,,,,,
begin group,d1,Income,????,????,,,,,,,field-list,,,,,,,
note,income_note,What was your household's total income in AFN over the last 30 days from the following sources: ,????? ?? ??? ??? ?? 30 ??? ????? ?? ????? ???  ??? ?????? ????,?? ???? 30 ???? ?? ????? ? ????? ??? ???? ?? ??????? ????? ???,,,,,,,,,,,,,,
integer,ag_income,Agriculture (selling of own production), ???? ???????  ?????? /?????,????? (? ???? ???????? ????),"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,livestock_income,Livestock (selling of own production), ???? ??????? ???????,??????? (? ???? ???????? ????),"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,rent_income,Rent,?????,? ????? ????,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,small_business_income,"Small business (sewing, shoe repair, etc.)",????? ???? ( ?????? ??? ???? ? ????),????? ????? (?????? ??????? ?? ?? ?? ???? ???),"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,unskill_labor_income,"Unskilled labor (no contract employment, e.g. domestic or daily manual labour)",????? ??? ????? ???? ????? ???? ???? ????? ??? ??? ???  ,??? ???? ????? (???? ? ???? ??? ?? ??? ?????? ???),"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,skill_labor_income,"Skilled labor (no contract employment, e.g. carpenter, electrician, mechanic)",????? ?????  ???? ???????( ??? ???? ? ???? ? ?????),???? ????? (???? ? ???? ??? ?? ??? ????? ????? ?????),"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,formal_employment_income,Formal employment (with contract),?????? ???? ( ????? ???????),???? ?????? (???? ??? ??????) ,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 300000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 300,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,gov_benefits_income,Government benefits,????? ????/????? ? ?? ????,????? ???? ??? ?????,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,hum_assistance_income,Humanitarian assistance,??? ??? ??? ???????,???? ?????,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,remittance_income,Gifts/remittances,???? / ??????,???? ?? ????? ???,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,loans_income,Borrowing/loans,??? ?????/ ????,???,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
integer,asset_selling_income,Selling household assets,???? ????? ????,? ??? ? ????? ? ???? ???,"If no income, put 0","??? ????? ?????, 0 ????? ????",?? ???? ?? ??? ??? (?) ?????.,TRUE,,,,(. >= 500 and . < 100000) or . = 0,"Cannot be less than 500 (unless equal to 0) or greater than 100,000AFN.","??? ????? ???? ?? 500 ? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ?? 500 ?? ??  ?? ?? ?? ?? ?????? ?????? ????? ??? ?????.,,,
end group,,,,,,,,,,,,,,,,,,
calculate,total_income,,,,,,,,,,,,,,,,${ag_income} + ${livestock_income} + ${rent_income} + ${small_business_income} + ${unskill_labor_income} + ${skill_labor_income} + ${formal_employment_income} + ${gov_benefits_income} + ${hum_assistance_income} + ${remittance_income} + ${loans_income} + ${asset_selling_income},
note,income_check_note,"The total income for the household is under 3,000 AFN, please confirm the previously collected numbers are correct.",????? ?? ??? ???????  ?? 30 ??? ????? ???? ?? 3000 ?????? ???? ???? ????? ???? ?? ?????? ??? ?????? ? ?????? ???? ?????? ?? ????? ???? ???.,?? ???? 30 ???? ??  ? ????? ??? ???? 3000 ?????? ??? ?? ?? ?? ??????? ??? ????? ????? ??? ????? ??? ??? ??? ?? ? ?????? ? ?????? ?? ??? ???? ????,,,,,${total_income} < 3000,,,,,,,,,
select_one income_fluctuation_list,income_fluctuation,Did the average monthly (30 days) income from your main income source stay the same for most times in the past year?,?? ??? ?????? ?? (30 ????) ?? ???? ???? ???? ??? ????? ????? ?????,??? ????? ????? ??????? (30 ????) ???? ????? ? ????? ???? ?????? ??? ? ??? ??? ?? ????? ?? ?? ??? ???,"If no, why?",?? ??? ?? ????,?? ??? ?? ????,TRUE,,,,,,,,,,
select_one yn_list,debt,Does the household currently have debt?,??? ??????? ?? ??? ???? ??? ???????,??? ???? ??? ??????? ?????,,,,TRUE,,,,,,,,,,
integer,debt_amount,"How much debt does the household currently have, in AFN?",???? ??????? ??? ??? ?????? ?????? ????,???? ??? ?? ?????? ??????? ?????,,,,TRUE,"selected(${debt}, ""yes"")",,,. >= 0 and . < 500000,"Cannot be negative or greater than 500,000AFN.","???? ?? ????? ?? 500,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ????? ?? ????.,,,
select_one debt_reason_list,debt_reason,What was the primary reason behind taking on debt? ,???? ????? ???? ??? ????? ??? ??? ????,? ??? ?????? ???? ???? ?? ?? ?? ???,,,,TRUE,"selected(${debt}, ""yes"")",${host_hh} != filter,,,,,,,,
begin group,d2,Expenditures,?????,???????,,,,,,,field-list,,,,,,,
note,expenditure_note,"How much was spent in the last 30 days, in AFN, on the following items/costs:",?? ?? ??? ????? ??? ?????? ???? ???? ??? ???? ????? ????,???? ?? ???? 30 ???? ?? ?? ????? ???? ?? ?????? ???? ??? ???,,,,,,,,,,,,,,
integer,food_exp,Food,???,?????,,,,TRUE,,,,. >= 0 and . < 100000,"Cannot be negative or greater than 100,000AFN.","???? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ?????? ????? ?? ????.,,,
integer,water_expt,Water (drinking),?? ????????,???? (? ???? ?????),,,,TRUE,,,,. >= 0 and . < 100000,"Cannot be negative or greater than 100,000AFN.","???? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ?????? ????? ?? ????.,,,
integer,rent_exp,Rent and shelter materials/labour,????? ? ????? ?????? ?? ??? ????? ???? ????? ??????,????? ?? ? ??? ?????/?????,,,,TRUE,,,,. >= 0 and . < 100000,"Cannot be negative or greater than 100,000AFN.","???? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ?????? ????? ?? ????.,,,
integer,fuel_exp,Fuel and electricity,???? ???? ? ???,? ???? ????/??????,,,,TRUE,,,,. >= 0 and . < 100000,"Cannot be negative or greater than 100,000AFN.","???? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ?????? ????? ?? ????.,,,
integer,debt_exp,Debt repayment,?????? ??????  ???,??? ??????,,,,TRUE,,,,. >= 0 and . < 100000,"Cannot be negative or greater than 100,000AFN.","???? ?? ????? ?? 100,000AFN ???? ????????",???? ???? ??? (?) ?? ?? ?? ?? ?????? ?????? ????? ?? ????.,,,
end group,,,,,,,,,,,,,,,,,,
select_one yn_list,needs_struggle,"During the past 30 days, did your household struggle to obtain food or did not have enough money to obtain food?",??? ?? ????? 30 ??? ????? ??????? ??? ???? ???? ????? ???? ????? ?? ???? ????? ??? ??? ? ?? ?? ???? ???? ???? ????? ??? ???? ???????,??? ?? ???? 30 ???? ?? ? ?????? ? ??? ?? ?????? ????? ? ???? ??? ????? ??? ???? ?? ?? ?? ?? ?? ??? ?? ?? ???? ? ????? ? ?????? ????? ???? ???? ?? ???????,,,,TRUE,,,,,,,,,,
begin group,d3,Livelihoods coping,???????? ?????? ?? ????? ????? ,? ????? ?????? ???????????,,,,,"selected(${needs_struggle}, ""yes"")",,field-list,,,,,,,
note,lcsi_note,"During the past 30 days, did anyone in your household have to engage in any following behaviours due to a lack of food or a lack of money to buy food?",??? ?? ????? 30 ??? ????? ??? ?? ????? ??????? ??? ????? ????? ???? ????? ?? ??? ???? ???? ???? ???? ????? ?? ????? ??? ??????? ????,? ???? 30 ???? ?? ????? ??? ??? ????? ?? ????? ?? ??? ? ?????? ???? ?? ????? ? ???????  ?? ???? ?? ????? ??????? ?? ? ????? ? ?????? ????? ???? ????????,,,,,,,,,,,,,,
select_one lcsi_list,lcsi_migrated,Migrated to look for work ,?????? ????? ?????? ???,? ??? ????? ?????? (? ??? ? ???? ???? ????? ??? ???),,,,TRUE,,,minimal,,,,,,,
